net,test case,ground truth,your output,your runtime,your point
fc_1,img1_mnist_0.0373.txt,not verified,not verified,1.295,0
fc_1,img6_mnist_0.0419.txt,verified,verified,1.332,1
fc_1,img7_mnist_0.0915.txt,verified,verified,1.292,1
fc_2,img2_mnist_0.0908.txt,not verified,not verified,1.34,0
fc_2,img7_mnist_0.0843.txt,verified,verified,1.315,1
fc_2,img8_mnist_0.0750.txt,verified,verified,1.342,1
fc_3,img2_mnist_0.0615.txt,not verified,not verified,1.296,0
fc_3,img3_mnist_0.0019.txt,verified,verified,1.309,1
fc_3,img8_mnist_0.0751.txt,verified,verified,1.317,1
fc_4,img0_mnist_0.1132.txt,not verified,verified,1.293,-2
fc_4,img3_mnist_0.0014.txt,verified,verified,1.343,1
fc_4,img4_mnist_0.0552.txt,verified,verified,1.312,1
fc_5,img2_mnist_0.1475.txt,not verified,not verified,1.383,0
fc_5,img7_mnist_0.1009.txt,verified,not verified,1.319,0
fc_5,img8_mnist_0.1020.txt,verified,not verified,1.351,0
fc_6,img2_mnist_0.0386.txt,not verified,not verified,1.344,0
fc_6,img4_mnist_0.0619.txt,verified,verified,1.378,1
fc_6,img8_mnist_0.0316.txt,verified,verified,1.352,1
fc_6,img2_cifar10_0.0029.txt,not verified,verified,1.341,-2
fc_6,img3_cifar10_0.0051.txt,not verified,not verified,1.365,0
fc_6,img8_cifar10_0.0029.txt,verified,verified,1.402,1
fc_7,img0_mnist_0.0598.txt,not verified,not verified,1.355,0
fc_7,img3_mnist_0.0700.txt,verified,not verified,1.203,0
fc_7,img7_mnist_0.0521.txt,verified,not verified,1.365,0
conv_1,img0_mnist_0.1671.txt,not verified,not verified,2.466,0
conv_1,img6_mnist_0.1120.txt,verified,not verified,2.586,0
conv_1,img8_mnist_0.1272.txt,verified,not verified,2.543,0
conv_2,img0_mnist_0.1211.txt,not verified,verified,7.44,-2
conv_2,img4_mnist_0.0974.txt,verified,not verified,7.525,0
conv_2,img7_mnist_0.1582.txt,verified,verified,7.496,1
conv_3,img3_cifar10_0.0221.txt,not verified,not verified,22.039,0
conv_3,img6_cifar10_0.0133.txt,verified,not verified,21.102,0
conv_3,img7_cifar10_0.0124.txt,verified,not verified,20.547,0
conv_4,img1_mnist_0.1851.txt,not verified,not verified,11.988,0
conv_4,img7_mnist_0.1962.txt,verified,verified,12.154,1
conv_4,img8_mnist_0.2113.txt,verified,not verified,12.065,0

total points: 7
